ISO3,ISO3,Country,2007,2012,2017
IDN,IDN,Indonesia,7624495716,193016059134,217955361518
IMN,IMN,Isle of Man,7091146245,4667389246,2754674101
IND,IND,India,935192655482,771113611794,1280101012533
IOT,IOT,British Territory Ind. Ocean,0,29460550,2873653
IRL,IRL,Ireland,122679886675,124399744223,169780826192
IRN,IRN,Iran,267499070,199267101,339408911
IRQ,IRQ,Iraq,71388,423361438,248458923
ISL,ISL,Iceland,37195469354,3294676834,7240992494
ISR,ISR,Israel,94922517874,81543224023,116246501723
ITA,ITA,Italy,702562602837,356202648057,426415625112
JAM,JAM,Jamaica,52634,142633455,0
JEY,JEY,Jersey,23636842179,48990531133,45321007898
JOR,JOR,Jordan,9078652495,15134527410,14618421860
JPN,JPN,Japan,2180399482863,1959746854849,3086860156389
KAZ,KAZ,Kazakhstan,221493030,4896258764,10030428360
KEN,KEN,Kenya,880767,1316424,14300850
KGZ,KGZ,Kyrgyzstan,310785445,1203149775,444837736
KHM,KHM,Cambodia,0,617981,684764
KIR,KIR,Kiribati,0,0,0
KNA,KNA,St. Kitts and Nevis,45612819,62262402,19007152
KOR,KOR,"Korea, Rep. (South)",374390444942,559153136096,760113888093
KWT,KWT,Kuwait,106827987701,58680033756,55218107889
LAO,LAO,Laos,0,0,0
LBN,LBN,Lebanon,4054986033,13737945675,5083945982
LBR,LBR,Liberia,5734015646,1497901538,1328078309
LBY,LBY,Libyan Arab Jamahiriya,63254068,3616293126,2692891640
LCA,LCA,St. Lucia,10097998,3895890,10919
LIE,LIE,Liechtenstein,8248782225,4743003070,6345842881
LKA,LKA,Sri Lanka,6607831,11701854,10634542
LSO,LSO,Lesotho,12450613,5080699,0
LTU,LTU,Lithuania,6021347137,2039445577,3009358031
LUX,LUX,Luxembourg,154480728999,139003089071,169397941358
LVA,LVA,Latvia,829553608,339366626,331836948
MAC,MAC,Macau,725110849,7279666776,34721819
MAF,MAF,Saint Martin,0,0,0
MAR,MAR,Morocco,21253858453,31345498707,31188649664
MCO,MCO,Monaco,7190172439,6062401377,12961498274
MDA,MDA,Moldova,0,0,0
MDG,MDG,Madagascar,0,180112,0
MDV,MDV,Maldives,4347,1568,5478431
MEX,MEX,Mexico,163533534495,264128895709,118246849493
MHL,MHL,Marshall Islands,414533065,159941756,96036280
MKD,MKD,Macedonia,0,0,0
MLI,MLI,Mali,750130,1373853,2137038
MLT,MLT,Malta,288502450,2638739391,291702561
MMR,MMR,Myanmar,0,0,0
MNE,MNE,Montenegro,0,12872847,0
MNG,MNG,Mongolia,460400102,63921788,6745293
MNP,MNP,Northern Mariana Islands,19991353,6589742,0
MOZ,MOZ,Mozambique,373290,660,0
MRT,MRT,Mauritania,24743648,0,0
MSR,MSR,Montserrat,0,0,0
MTQ,MTQ,Martinique,46752345,7495078,0
MUS,MUS,Mauritius,7823868815,7397650987,14052251827
MWI,MWI,Malawi,0,7079887,6354368
MYS,MYS,Malaysia,112438244482,354343303625,339737434147
MYT,MYT,Mayotte,0,0,0
NAM,NAM,Namibia,907267207,883363733,861606900
NCL,NCL,New Caledonia,546655628,156720388,127182052
NER,NER,Niger,0,0,0
NFK,NFK,Norfolk Island,0,0,0
NGA,NGA,Nigeria,317074218,15572507518,8692226278
NIC,NIC,Nicaragua,0,0,9201568
NIU,NIU,Niue,0,0,0
NLD,NLD,Netherlands,586660378551,525523900995,571307588945
NOR,NOR,Norway,430923434051,610652222666,814533967843
NPL,NPL,Nepal,130739994,26703336,32307040
NRU,NRU,Nauru,0,0,0
NZL,NZL,New Zealand,10366934397,18498401168,28133714787
OMN,OMN,Oman,237879647,8019063939,11090896002
PAK,PAK,Pakistan,282497352,1238849114,3077417274
PAN,PAN,Panama,6342814367,7234737158,4451518346
PCN,PCN,Pitcairn,0,0,0
PER,PER,Peru,69897104267,89201614271,51019692557
PHL,PHL,Philippines,8417630294,109822028633,108920993620
PLW,PLW,Palau,0,0,0
PNG,PNG,Papua New Guinea,775820837,1839495276,1646776350
POL,POL,Poland,85487988803,96101100825,104104886051
PRI,PRI,Puerto Rico,115721871,1301665408,333272629
PRK,PRK,"Korea, Dem. People's Rep. of",4384000,35022800,34233908
PRT,PRT,Portugal,70401053236,29088876536,34414407586
PRY,PRY,Paraguay,312246229,0,1139329
PSE,PSE,Palestinian Territories,0,1150533790,608287181
PYF,PYF,French Polynesia,0,0,0
QAT,QAT,Qatar,12347676309,98419112625,120930979538
REU,REU,Reunion,0,0,0
ROU,ROU,Romania,7121305840,4553878310,7721865246
RUS,RUS,Russian Federation,467117793614,639551323542,283767466210
RWA,RWA,Rwanda,0,0,0
SAU,SAU,Saudi Arabia,57022848255,212956961368,273204063753
SDN,SDN,Sudan,0,53402497,893327
SEN,SEN,Senegal,0,191480,0
SGP,SGP,Singapore,616363054733,563224612855,613156577389
SGS,SGS,South Georgia and South Sandwich Islands,2477,0,0
SHN,SHN,St. Helena,0,0,0
SJM,SJM,Svalbard and Jan Mayen,0,0,0
SLB,SLB,Solomon Islands,132942,13143,4091344
SLE,SLE,Sierra Leone,0,2004,825
SLV,SLV,El Salvador,0,15174016,0
SMR,SMR,San Marino,1990070,0,0
SOM,SOM,Somalia,262726,0,0
SPM,SPM,St. Pierre and Miquelon,0,0,0
SRB,SRB,Serbia,99917,11705819,5952
SSD,SSD,Sudan (South),0,0,0
STP,STP,Sao Tome & Principe,0,0,0
SUN,SUN,Soviet Union,0,0,0
SUR,SUR,Suriname,0,578331,222517
SVK,SVK,Slovakia,389585787,912571165,990969610
SVN,SVN,Slovenia,11757934534,4083518860,3534502989
SWE,SWE,Sweden,456066953749,424375318131,576102004082
SWZ,SWZ,Swaziland,72239253,4649695,9775394
SXM,SXM,Sint Maarten,0,0,0
SYC,SYC,Seychelles,13976599,3218109437,3057778437
SYR,SYR,Syria,906245776,508400870,324834483
TCA,TCA,Turks and Caicos Islands,1416590215,276474142,7449743
TCD,TCD,Chad,0,0,0
TGO,TGO,Togo,0,0,0
THA,THA,Thailand,47503369220,245623143790,302093311637
TJK,TJK,Tajikistan,1925820,3692208,0
TKL,TKL,Tokelau,0,0,0
TKM,TKM,Turkmenistan,0,0,0
TLS,TLS,Timor-Leste,0,51773,0
TON,TON,Tonga,0,0,0
TTO,TTO,Trinidad and Tobago,32348764,26576196,35442754
TUN,TUN,Tunisia,7370239,386314911,1745076428
TUR,TUR,Turkey,66147346279,128516038720,91859388485
TUV,TUV,Tuvalu,0,0,0
TWN,TWN,"Taiwan, R.O.C.",322587939838,358967002300,481105615623
TZA,TZA,Tanzania,1352156,9425622,429755
UGA,UGA,Uganda,2544200,3429466,3913863
UKR,UKR,Ukraine,2016408420,8943146028,726977643
URY,URY,Uruguay,1525775207,1206847333,1465542919
USA,USA,United States,17983966205599,15473523001512,27107256429534
UZB,UZB,Uzbekistan,0,554936,0
VAT,VAT,Holy See (Vatican City State),0,0,0
VCT,VCT,St. Vincent and the Grenadines,9802512,35062990,18428880
VEN,VEN,Venezuela,1353310740,12718880,26309927
VGB,VGB,Virgin Islands (UK),163231337934,180725345516,221652942871
VIR,VIR,Virgin Islands (US),429168308,134545080,2481364542
VNM,VNM,Vietnam,333890352,20260698450,49810397845
VUT,VUT,Vanuatu,45445972,19210960,15009826
WLF,WLF,Wallis and Futuna,0,0,0
WSM,WSM,Samoa,276874481,797207111,545876378
XKX,XKX,Republic of Kosovo,0,0,0
YEM,YEM,Yemen,0,14013972,38855410
ZAF,ZAF,South Africa,259678599635,272836841839,390933985433
ZMB,ZMB,Zambia,116013974,38828594,152279
ZWE,ZWE,Zimbabwe,18828790,32742201,15808877
nan,nan,nan,11664308656,796241760,21077745710535
