37,Turkey,TUR,66147346279,128516038720,91859388485,1.388708598
38,Bulgaria,BGR,5116637138,1838035338,2575749326,0.5034066823
39,Czech Republic,CZE,32234399998,16886332149,12031478161,0.3732496389
40,Slovakia,SVK,389585787,912571165,990969610,2.543649289
41,Lithuania,LTU,6021347137,2039445577,3009358031,0.4997815211
42,Slovenia,SVN,11757934534,4083518860,3534502989,0.3006057721
43,Argentina,ARG,30081438347,20907764650,32531222465,1.081438397
44,Brazil,BRA,3420440838170,659702984045,513883367207,0.1502389287
45,Belarus,BLR,0,152018,0,#DIV/0!
46,Chile,CHL,124394631121,224554066765,181518383610,1.459213971
47,China,CHN,3412355706987,3055263362106,5275434496825,1.545980241
48,Colombia,COL,38529755673,223020475818,79405094041,2.060877175
49,Ecuador,ECU,251361725,217758410,152107886,0.6051354318
50,European Zone,,0,0,0,#DIV/0!
51,Egypt,EGY,7117992156,30817439249,21595677679,3.033956375
52,Estonia,EST,4139654638,2885402039,2577832281,0.6227167497
53,Guatemala,GTM,37066588,26429745,261355,0.007050959209
54,India,IND,935192655482,771113611794,1280101012533,1.368809951
55,Kenya,KEN,880767,1316424,14300850,16.23681405
56,Kuwait,KWT,106827987701,58680033756,55218107889,0.5168880279
57,Latvia,LVA,829553608,339366626,331836948,0.4000186905
58,Lebanon,LBN,4054986033,13737945675,5083945982,1.253751786
59,Mexico,MEX,163533534495,264128895709,118246849493,0.7230740157
60,Morocco,MAR,21253858453,31345498707,31188649664,1.467434712
61,Pakistan,PAK,282497352,1238849114,3077417274,10.89361459
62,Panama,PAN,6342814367,7234737158,4451518346,0.7018206885
63,Paraguay,PRY,312246229,0,1139329,0.003648815884
64,Peru,PER,69897104267,89201614271,51019692557,0.7299256971
65,Philippines,PHL,8417630294,109822028633,108920993620,12.93962669
66,Saudi Arabia,SAU,57022848255,212956961368,273204063753,4.791133241
67,"Korea, Rep. (South)",KOR,374390444942,559153136096,760113888093,2.030270533
68,Tanzania,TZA,1352156,9425622,429755,0.3178294516
69,Tunisia,TUN,7370239,386314911,1745076428,236.7733839
70,United Arab Emirates,ARE,75400775583,107918213732,192734242978,2.556130776
71,Ukraine,UKR,2016408420,8943146028,726977643,0.3605309499
72,Uruguay,URY,1525775207,1206847333,1465542919,0.9605234849
73,Venezuela,VEN,1353310740,12718880,26309927,0.01944115732
74,Vietnam,VNM,333890352,20260698450,49810397845,149.1819022
75,Zambia,ZMB,116013974,38828594,152279,0.001312591878
76,Gibraltar,GIB,12668434958,613122653,1455566905,0.1148971368
77,Monaco,MCO,7190172439,6062401377,12961498274,1.802668626
78,Iceland,ISL,37195469354,3294676834,7240992494,0.1946740455
79,Nether. Antilles,CUW,13048564,2220502,17642323,1.352050923
80,Romania,ROU,7121305840,4553878310,7721865246,1.084332764
81,Aruba,ABW,129987,0,0,0
82,Bahamas,BHS,10969393795,12039435087,13343861393,1.216462973
83,Bahrain,BHR,5830071990,10502768460,9526154057,1.633968512
84,Bangladesh,BGD,103735230,4392814,1557671,0.01501583406
85,Barbados,BRB,1923193905,2454969314,2419052646,1.257830861
86,Belize,BLZ,1179125011,244602865,25708877,0.02180335143
87,Bolivia,BOL,409540203,374555105,167767218,0.4096477385
88,Botswana,BWA,29120562,133231846,96470064,3.31278167
89,Costa Rica,CRI,1120968,3381465,214065,0.1909644165
90,Cuba,CUB,0,0,0,#DIV/0!
91,Dominica,DMA,0,0,0,#DIV/0!
92,El Salvador,SLV,0,15174016,0,#DIV/0!
93,Fiji,FJI,23701117,73691056,24241317,1.022792175
94,Ghana,GHA,389916047,350251989,121437977,0.3114464715
95,Haiti,HTI,0,0,0,#DIV/0!
96,Indonesia,IDN,7624495716,193016059134,217955361518,28.58620027
97,Iran,IRN,267499070,199267101,339408911,1.26882277
98,Jamaica,JAM,52634,142633455,0,0
99,Jordan,JOR,9078652495,15134527410,14618421860,1.610197314
100,Lesotho,LSO,12450613,5080699,0,0
101,Liberia,LBR,5734015646,1497901538,1328078309,0.2316140016
102,Libyan Arab Jamahiriya,LBY,63254068,3616293126,2692891640,42.57262379
103,Malawi,MWI,0,7079887,6354368,#DIV/0!
104,Mauritius,MUS,7823868815,7397650987,14052251827,1.796074571
105,Myanmar,MMR,0,0,0,#DIV/0!
106,Nigeria,NGA,317074218,15572507518,8692226278,27.41385387
107,Papua New Guinea,PNG,775820837,1839495276,1646776350,2.122624544
108,Seychelles,SYC,13976599,3218109437,3057778437,218.7784337
109,Sri Lanka,LKA,6607831,11701854,10634542,1.609384683
110,Swaziland,SWZ,72239253,4649695,9775394,0.1353196994
111,Trinidad and Tobago,TTO,32348764,26576196,35442754,1.095644767
112,Uganda,UGA,2544200,3429466,3913863,1.538347221
113,Vanuatu,VUT,45445972,19210960,15009826,0.3302784678
115,"Congo, Democratic Republic of",COD,0,0,0,#DIV/0!
116,Zimbabwe,ZWE,18828790,32742201,15808877,0.8396119453
117,Antigua and Barbuda,ATG,11677438,0,0,0
118,Virgin Islands (UK),VGB,163231337934,180725345516,221652942871,1.357906795
119,Cameroon,CMR,5547343,4915820,1449082,0.2612209124
120,Cook Islands,COK,4648626,45860504,36504001,7.852643125
121,Gabon,GAB,861808884,513231523,6998691,0.008120931601
122,Guernsey,GGY,6890236054,10817315152,10656669146,1.54663339
123,Isle of Man,IMN,7091146245,4667389246,2754674101,0.3884666887
124,Cote-D'Ivoire,CIV,201119104,229810815,280678112,1.395581555
125,Jersey,JEY,23636842179,48990531133,45321007898,1.917388438
126,Liechtenstein,LIE,8248782225,4743003070,6345842881,0.7693066331
127,Puerto Rico,PRI,115721871,1301665408,333272629,2.879945045
129,Togo,TGO,0,0,0,#DIV/0!
130,Virgin Islands (US),VIR,429168308,134545080,2481364542,5.78179818
131,Oman,OMN,237879647,8019063939,11090896002,46.62398041
132,Algeria,DZA,532872492,957993932,1216477055,2.282867052
133,Albania,ALB,0,170000,0,#DIV/0!
134,Andorra,AND,188897542,23304140,602433807,3.189209349
135,Anguilla,AIA,2197247,18223958,102567205,46.67987031
136,Central African Rep.,CAF,0,0,0,#DIV/0!
137,Croatia,HRV,13746534071,8976909143,7166504181,0.5213317149
138,Falkland (Malvinas),FLK,516570,375743,0,0
139,Guinea,GIN,0,33173,29674,#DIV/0!
140,Laos,LAO,0,0,0,#DIV/0!
141,Madagascar,MDG,0,180112,0,#DIV/0!
142,Maldives,MDV,4347,1568,5478431,1260.278583
143,Namibia,NAM,907267207,883363733,861606900,0.9496727021
144,Nepal,NPL,130739994,26703336,32307040,0.2471090828
145,New Caledonia,NCL,546655628,156720388,127182052,0.232654793
146,"Korea, Dem. People's Rep. of",PRK,4384000,35022800,34233908,7.80882938
147,Qatar,QAT,12347676309,98419112625,120930979538,9.793824888
149,Samoa,WSM,276874481,797207111,545876378,1.971566235
150,Suriname,SUR,0,578331,222517,#DIV/0!
151,Yemen,YEM,0,14013972,38855410,#DIV/0!
152,Turks and Caicos Islands,TCA,1416590215,276474142,7449743,0.00525892592
153,Senegal,SEN,0,191480,0,#DIV/0!
154,Kazakhstan,KAZ,221493030,4896258764,10030428360,45.28552596
155,Chad,TCD,0,0,0,#DIV/0!
156,Cape Verde,CPV,0,0,0,#DIV/0!
157,Sudan,SDN,0,53402497,893327,#DIV/0!
158,Afghanistan,AFG,0,0,0,#DIV/0!
159,American Samoa,ASM,0,0,0,#DIV/0!
160,Angola,AGO,766795534,379055911,620230239,0.8088600044
161,Antartics,ATA,0,0,0,#DIV/0!
162,Armenia,ARM,0,0,0,#DIV/0!
163,Azerbaijan,AZE,0,953363325,1339910314,#DIV/0!
164,Benin,BEN,0,0,0,#DIV/0!
165,Bhutan,BTN,0,0,0,#DIV/0!
166,Bosnia & Herzegovina,BIH,247,1157085,885294,3584.186235
167,Bouvet Island,BVT,0,0,0,#DIV/0!
168,British Territory Ind. Ocean,IOT,0,29460550,2873653,#DIV/0!
169,Brunei Darussalam,BRN,107136259,550310555,165729365,1.546902669
170,Burkina Faso,BFA,12957,0,0,0
171,Burundi,BDI,0,0,1952708,#DIV/0!
172,Cambodia,KHM,0,617981,684764,#DIV/0!
173,Christmas Island,CXR,0,27745230,0,#DIV/0!
174,Cocos (Keeling) Islands,CCK,0,0,0,#DIV/0!
175,Comoros,COM,0,0,0,#DIV/0!
176,"Congo, Republic of the",COG,14121788,470650,0,0
177,Djibouti,DJI,0,0,0,#DIV/0!
178,Dominican Republic,DOM,0,15574357,12216,#DIV/0!
179,Timor-Leste,TLS,0,51773,0,#DIV/0!
180,Equatorial Guinea,GNQ,0,0,0,#DIV/0!
181,Eritrea,ERI,0,0,0,#DIV/0!
182,Ethiopia,ETH,0,0,0,#DIV/0!
183,Faroe Islands,FRO,364722500,195071948,490187563,1.344001434
184,France Metropolitan,FRA,0,0,0,#DIV/0!
185,French Antilles,FRA,0,0,0,#DIV/0!
186,French Guiana,GUF,0,0,0,#DIV/0!
187,French Polynesia,PYF,0,0,0,#DIV/0!
188,French Southern Territories,ATF,0,0,0,#DIV/0!
189,Gambia,GMB,0,0,0,#DIV/0!
190,Georgia,GEO,132292396,136912418,1721235804,13.01084458
191,Greenland,GRL,89135147,65881700,50483833,0.5663740365
192,Grenada,GRD,226,142,114,0.5044247788
193,Guadeloupe,GLP,0,11617,52,#DIV/0!
194,Guam,GUM,0,0,0,#DIV/0!
195,Guinea Bissau,GNB,0,0,0,#DIV/0!
196,Guyana,GUY,0,3772950,14823,#DIV/0!
197,Heard Island and McDonald Islands,HMD,0,0,0,#DIV/0!
198,Holy See (Vatican City State),VAT,0,0,0,#DIV/0!
199,Honduras,HND,0,0,0,#DIV/0!
200,Iraq,IRQ,71388,423361438,248458923,3480.40179
201,Kiribati,KIR,0,0,0,#DIV/0!
202,Kyrgyzstan,KGZ,310785445,1203149775,444837736,1.431333877
203,Macau,MAC,725110849,7279666776,34721819,0.04788484278
204,Macedonia,MKD,0,0,0,#DIV/0!
205,Mali,MLI,750130,1373853,2137038,2.848890192
206,Marshall Islands,MHL,414533065,159941756,96036280,0.2316733889
207,Martinique,MTQ,46752345,7495078,0,0
208,Mauritania,MRT,24743648,0,0,0
209,Mayotte,MYT,0,0,0,#DIV/0!
210,Micronesia,FSM,0,0,0,#DIV/0!
211,Moldova,MDA,0,0,0,#DIV/0!
212,Mongolia,MNG,460400102,63921788,6745293,0.01465093724
213,Montserrat,MSR,0,0,0,#DIV/0!
214,Mozambique,MOZ,373290,660,0,0
215,Nauru,NRU,0,0,0,#DIV/0!
216,Nicaragua,NIC,0,0,9201568,#DIV/0!
217,Niger,NER,0,0,0,#DIV/0!
218,Niue,NIU,0,0,0,#DIV/0!
219,Norfolk Island,NFK,0,0,0,#DIV/0!
220,Northern Mariana Islands,MNP,19991353,6589742,0,0
221,Palau,PLW,0,0,0,#DIV/0!
222,Pitcairn,PCN,0,0,0,#DIV/0!
223,Reunion,REU,0,0,0,#DIV/0!
224,Rwanda,RWA,0,0,0,#DIV/0!
225,San Marino,SMR,1990070,0,0,0
226,Sao Tome & Principe,STP,0,0,0,#DIV/0!
227,Sierra Leone,SLE,0,2004,825,#DIV/0!
228,Solomon Islands,SLB,132942,13143,4091344,30.77540582
229,Somalia,SOM,262726,0,0,0
230,South Georgia and South Sandwich Islands,SGS,2477,0,0,0
231,Soviet Union,SUN,0,0,0,#DIV/0!
232,St. Helena,SHN,0,0,0,#DIV/0!
233,St. Kitts and Nevis,KNA,45612819,62262402,19007152,0.4167063649
234,St. Lucia,LCA,10097998,3895890,10919,0.001081303443
235,St. Pierre and Miquelon,SPM,0,0,0,#DIV/0!
236,St. Vincent and the Grenadines,VCT,9802512,35062990,18428880,1.880016061
237,Svalbard and Jan Mayen,SJM,0,0,0,#DIV/0!
238,Syria,SYR,906245776,508400870,324834483,0.3584397209
239,Tajikistan,TJK,1925820,3692208,0,0
240,Tokelau,TKL,0,0,0,#DIV/0!
241,Tonga,TON,0,0,0,#DIV/0!
242,Turkmenistan,TKM,0,0,0,#DIV/0!
243,Tuvalu,TUV,0,0,0,#DIV/0!
244,United States Minor Outlaying,USA,94323705,92368114,2923924,0.03099882474
245,Uzbekistan,UZB,0,554936,0,#DIV/0!
246,Wallis and Futuna,WLF,0,0,0,#DIV/0!
247,West Indian States,IND,0,0,0,#DIV/0!
248,Western Sahara,ESH,0,0,0,#DIV/0!
249,England,GBR,3829025341540,2726962768855,3973363947174,1.037695913
250,Northern Ireland,GBR,201649856,137344341,443179481,2.197767406
251,Scotland,GBR,321158586860,271891528903,384905767409,1.198491285
252,Wales,GBR,258214762,94360560,208466122,0.8073361894
253,West Indies (British),GBR,0,0,0,#DIV/0!
254,West Indies (French),FRA,0,0,0,#DIV/0!
255,Channel Islands,GBR,246037093,364300925,374349970,1.521518424
256,Serbia,SRB,99917,11705819,5952,0.05956944264
258,Republic of Kosovo,XKX,0,0,0,#DIV/0!
259,Montenegro,MNE,0,12872847,0,#DIV/0!
282,繝ｻ繝ｻand Islands,,0,0,0,#DIV/0!
283,"Bonaire, St. Eustatius and Saba",BES,0,0,0,#DIV/0!
284,Curacao,CUW,1852535469,4025453940,3020052178,1.630226373
285,Palestinian Territories,PSE,0,1150533790,608287181,#DIV/0!
286,Sint Maarten,SXM,0,0,0,#DIV/0!
287,Saint Barthelemy,BLM,560416,302505,0,0
288,Saint Martin,MAF,0,0,0,#DIV/0!
289,Sudan (South),SSD,0,0,0,#DIV/0!
,,,11664308656,796241760,21077745710535,1807.029146
